id,number,round,withdrawn,station,verdict,raceDateTime,raceDay,raceYear,raceTime,trophy.id,trophy.name,trophy.slug,trophy.shortName,trophy.extraShortName,trophy.class.id,trophy.class.name,winner.name,winner.shortName,loser.name,loser.shortName,barrier.split,barrier.newRecord,barrier.equalsRecord,barrier.loserLeading,fawley.split,fawley.newRecord,fawley.equalsRecord,fawley.loserLeading,finish.split,finish.newRecord,finish.equalsRecord
17047,,FINAL,False,2 - Bucks,1 Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,195,The Britannia Challenge Cup,the-britannia-challenge-cup,Britannia,Britannia,196,M4+,Molesey Boat Club,Molesey B.C.,Isis Boat Club,Isis B.C.,2:08,False,False,False,3:36,False,False,False,7:19,False,False
17642,,FINAL,False,1 - Berks,4¾ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,197,The Diamond Challenge Sculls,the-diamond-challenge-sculls,Diamonds,Diamonds,574,M1,"M. Hacker, Ruderclub Magdeburg, Germany","M. Hacker, Ruderclub Magdeburg, Germany","J.W. Koven, Riverside Boat Club, U.S.A.","J.W. Koven, Riverside Boat Club, U.S.A.",2:15,False,False,False,3:50,False,False,False,7:59,False,False
18341,,FINAL,False,1 - Berks,3 Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,201,The Double Sculls Challenge Cup,the-double-sculls-challenge-cup,Doubles,Doubles,573,M2,"I.M. McGowan & N.V. Peterson, Augusta Sculling Center, U.S.A.","I.M. McGowan & N.V. Peterson, Augusta Sculling Center, U.S.A.","C.P. Groom & R.S. Tucker, Augusta Sculling Center, U.S.A.","C.P. Groom & R.S. Tucker, Augusta Sculling Center, U.S.A.",2:17,False,False,False,3:48,False,False,False,7:44,False,False
18853,,FINAL,False,2 - Bucks,2¼ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,203,The Fawley Challenge Cup,the-fawley-challenge-cup,Fawley,Fawley,571,M4,Leander Club & Tiffin School,Leander Club & Tiffin School,Burway Rowing Club & Walton Rowing Club,Burway Rowing Club & Walton Rowing Club,2:05,False,False,False,3:30,False,False,False,7:15,False,False
19513,,FINAL,False,1 - Berks,½ Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,205,The Grand Challenge Cup,the-grand-challenge-cup,Grand,Grand,206,M8+,"Ruder Club Hansa Von 1898 e.V. Dortmud & Berliner Ruder Club, Germany","Ruder Club Hansa Von 1898 e.V. Dortmud & Berliner Ruder Club, Germany",Leander Club & Queen's Tower Boat Club,Leander Club & Queen's Tower Boat Club,1:48,False,False,False,3:01,False,False,False,6:15,False,False
19678,,FINAL,False,1 - Berks,2¼ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,214,The Ladies' Challenge Plate,the-ladies-challenge-plate,Ladies’,Ladies’,206,M8+,Cambridge University & Queen's Tower Boat Club,Cambridge University & Queen's Tower Boat Club,"University of California, Berkeley, U.S.A.","Univ. of California, Berkeley, USA",1:53,False,False,False,3:11,False,False,False,6:32,False,False
20660,,FINAL,False,2 - Bucks,½ Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,221,The Prince Philip Challenge Cup,the-prince-philip-challenge-cup,Prince Philip,,196,M4+,Nottinghamshire County Rowing Association,Nottinghamshire County R.A.,Leander Club,Leander Club,2:05,False,False,False,3:30,False,False,False,7:06,False,False
20681,,FINAL,False,1 - Berks,2½ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,222,The Princess Elizabeth Challenge Cup,the-princess-elizabeth-challenge-cup,PE,PE,206,M8+,St. Edward's School,St. Edward's Sch.,"St. Peter's College, Australia","St. Peter's College, Australia",1:55,False,False,False,3:16,False,False,False,6:47,False,False
21597,,FINAL,False,1 - Berks,Sculled over,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,226,The Princess Royal Challenge Cup,the-princess-royal-challenge-cup,PRCC,PRCC,575,W1,"K. Rutschow, Ruderklub am Wannsee Berlin, Germany","K. Rutschow, Ruderklub am Wannsee Berlin, Germany","M.H. Brandin, Kungalvs Roddklubb, Sweden","M.H. Brandin, Kungalvs Roddklubb, Sweden",2:39,False,False,False,4:28,False,False,False,9:09,False,False
21953,,FINAL,False,1 - Berks,1¼ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,228,The Queen Mother Challenge Cup,the-queen-mother-challenge-cup,QM,QM,571,M4,"Allemannia, Hamburg, Germany","Allemannia, Hamburg, Germany","Augusta Sculling Center, U.S.A.","Augusta Sculling Center, U.S.A.",1:54,False,False,False,3:13,False,False,False,6:45,False,False
22273,,FINAL,False,1 - Berks,3¼ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,230,The Silver Goblets & Nickalls' Challenge Cup,the-silver-goblets-and-nickalls-challenge-cup,Goblets,,231,M2-,"S.D. Williams & S.J. Dennis, Oxford Brookes University & Queen's Tower Boat Club","S.D. Williams & S.J. Dennis, Oxford Brookes University & Queen's Tower Boat Club","D.J. Weightman & R.G. Scott, New South Wales Insitute of Sport, Australia","D.J. Weightman & R.G. Scott, New South Wales Insitute of Sport, Australia",2:08,False,False,False,3:36,False,False,False,7:25,False,False
22814,,FINAL,False,2 - Bucks,1 Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,232,The Stewards' Challenge Cup,the-stewards-challenge-cup,Stewards',Stewards',571,M4,Leander Club & Queen's Tower Boat Club,Leander Club & Queen's Tower Boat Club,"Danmarks Rocenter, Denmark","Danmarks Rocenter, DEN",1:59,False,False,False,3:20,False,False,False,6:51,False,False
22937,,FINAL,False,1 - Berks,3½ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,235,The Temple Challenge Cup,the-temple-challenge-cup,Temple,Temple,206,M8+,Cambridge University,Cambridge Univ.,"Imperial College, London 'A'","Imperial College, London 'A'",1:56,False,False,False,3:15,False,False,False,6:44,False,False
22938,,SEMI-FINALS,False,2 - Bucks,⅓ Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,235,The Temple Challenge Cup,the-temple-challenge-cup,Temple,Temple,206,M8+,Cambridge University,Cambridge Univ.,"Princeton University, U.S.A.",Princeton Univ.,1:53,False,False,False,3:12,False,False,False,6:41,False,False
22939,,SEMI-FINALS,False,1 - Berks,¾ Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,235,The Temple Challenge Cup,the-temple-challenge-cup,Temple,Temple,206,M8+,"Imperial College, London 'A'","Imperial College, London 'A'","Harvard University, U.S.A.",Harvard Univ.,1:55,False,False,False,3:16,False,False,False,6:49,False,False
23752,,FINAL,False,2 - Bucks,¾ Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,236,The Thames Challenge Cup,the-thames-challenge-cup,Thames,Thames,206,M8+,Molesey Boat Club 'A',Molesey B.C.,Crabtree Boat Club,Crabtree B.C.,1:53,False,False,True,3:11,False,False,True,6:40,False,False
24526,,FINAL,False,1 - Berks,4½ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,239,The Visitors' Challenge Cup,the-visitors-challenge-cup,Visitors’,Visitors’,571,M4,Oxford Brookes University 'A',Oxford Brookes Univ.,"Imperial College, London","Imperial College, London",2:00,False,False,False,3:24,False,False,False,6:59,False,False
24953,,FINAL,False,1 - Berks,4½ Lengths,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,242,The Women's Invitation Eights,the-womens-invitation-eights,,,210,W8+,Marlow Rowing Club & Thames Rowing Club,Marlow Rowing Club & Thames Rowing Club,Thames Rowing Club & Marlow Rowing Club,Thames Rowing Club & Marlow Rowing Club,2:03,False,False,False,3:27,False,False,False,7:05,False,False
24995,,HEATS,False,2 - Bucks,½ Length,1999-07-04 00:00:00+00:00,Sunday,1999,00:00,245,The Wyfold Challenge Cup,the-wyfold-challenge-cup,Wyfold,Wyfold,571,M4,Holme Pierrepont Rowing Club 'A',Holme Pierrepont Rowing Club 'A',Llandaff Rowing Club,Llandaff R.C.,2:04,False,False,False,3:29,False,False,False,7:15,False,False
